1.535211765044290910e+00,5.062875868910714505e-01,4.942278927062500049e-01,3.148561165290517105e-01,1.000000000000000000e+00,5.337652292730163950e-01,2.600000000000000000e+01,9.225702399118723918e+00,0.000000000000000000e+00,5.948870636373441556e+01,7.000000000000000000e+00,7.000000000000000000e+00
1.620811901839702029e+00,5.594783731290726703e-01,4.803815462736842345e-01,6.962548812790899655e-01,5.305041755099504375e-01,0.000000000000000000e+00,2.500000000000000000e+01,1.847879827611633630e+01,2.670463389172819668e-01,6.948977583786744106e+01,9.000000000000000000e+00,9.000000000000000000e+00
4.034476469451080405e+00,4.881998776046720945e-01,4.332307895396226849e-01,6.054400551695718891e-01,7.236419488720133852e-01,4.948598467734429684e-01,4.200000000000000000e+01,1.451938572131227900e+01,1.134919500699374832e-03,1.201315153519366561e+02,1.800000000000000000e+01,1.700000000000000000e+01
3.215987399505981781e+00,4.746894472236842244e-01,5.108944786311842012e-01,5.974159225170302401e-01,5.003163225603258768e-01,2.338662793327122014e-01,5.000000000000000000e+01,1.650962483146699000e+01,5.791398540671146566e-01,6.050727336513181598e+01,1.400000000000000000e+01,1.400000000000000000e+01
2.926134708375799143e+00,5.644125680983929083e-01,5.549575699231250603e-01,5.195728947098801065e-01,9.223216131417135699e-01,5.118693496306929713e-01,5.300000000000000000e+01,1.358143837311135194e+01,2.473769213832904823e-02,5.846040090630189923e+01,1.700000000000000000e+01,1.600000000000000000e+01
3.660227282114619118e+00,5.068262974989647951e-01,5.656557696025362736e-01,4.486164211857597284e-01,5.050741777775580310e-01,5.563300015058703085e-01,7.300000000000000000e+01,9.974757093999169655e+00,0.000000000000000000e+00,5.646939322248308457e+01,2.100000000000000000e+01,2.200000000000000000e+01
1.102397697409123634e+00,3.304114585588971975e-01,6.508191511615789571e-01,5.489034654413056380e-01,5.316529414336699233e-01,2.284921421697693189e-01,2.200000000000000000e+01,1.314097630710302234e+01,5.032891132839013848e-02,6.643880443448236406e+01,7.000000000000000000e+00,6.000000000000000000e+00
2.530063062156701736e+00,5.367984092857143175e-01,4.412730562634920584e-01,5.409078927597028574e-01,3.174071220426932238e-01,6.436498727608527259e-01,3.300000000000000000e+01,1.567449122185479382e+01,6.292050331349073600e-02,8.246925825628143514e+01,1.200000000000000000e+01,1.300000000000000000e+01
1.766513860835007055e+00,6.443877486346321071e-01,5.323219599623818521e-01,5.047457894311762061e-01,7.382713691999591710e-01,4.531665993842674545e-01,3.100000000000000000e+01,1.296551409980966518e+01,2.785708350645933057e-02,4.426772878023151492e+01,8.000000000000000000e+00,8.000000000000000000e+00
2.540006738909473150e+00,5.106205442990032761e-01,6.050630398139534849e-01,4.780459014805057416e-01,4.818897468568736908e-01,4.594096819113581698e-01,3.300000000000000000e+01,1.154266736059769904e+01,8.889464778374438645e-06,9.058178964311547077e+01,1.400000000000000000e+01,1.400000000000000000e+01
