,BPM,headPos,headRotationY,timeStamp,x,y,z,head_positions
0,1.0,"{'x': -0.11260681599378586, 'y': 0.017634019255638123, 'z': 0.234991654753685}",235.54574584960938,0.20888012647628784,-0.11260681599378586,0.017634019255638123,0.234991654753685,"(-0.11260681599378586, 0.017634019255638123, 0.234991654753685, 0.20888012647628784)"
1,1.0,"{'x': -0.2026032954454422, 'y': 0.014482761733233929, 'z': 0.26155102252960205}",233.70016479492188,0.302171528339386,-0.2026032954454422,0.014482761733233929,0.26155102252960205,"(-0.2026032954454422, 0.014482761733233929, 0.26155102252960205, 0.302171528339386)"
2,1.0,"{'x': -0.22910091280937195, 'y': 0.014462756924331188, 'z': 0.2666051983833313}",231.03578186035156,0.36844125390052795,-0.22910091280937195,0.014462756924331188,0.2666051983833313,"(-0.22910091280937195, 0.014462756924331188, 0.2666051983833313, 0.36844125390052795)"
3,1.0,"{'x': -0.2467835247516632, 'y': 0.019006408751010895, 'z': 0.2696842551231384}",230.01654052734375,0.43422752618789673,-0.2467835247516632,0.019006408751010895,0.2696842551231384,"(-0.2467835247516632, 0.019006408751010895, 0.2696842551231384, 0.43422752618789673)"
4,1.0,"{'x': -0.2646417021751404, 'y': 0.01827634498476982, 'z': 0.27571937441825867}",230.75155639648438,0.5007522702217102,-0.2646417021751404,0.01827634498476982,0.27571937441825867,"(-0.2646417021751404, 0.01827634498476982, 0.27571937441825867, 0.5007522702217102)"
5,1.0,"{'x': -0.28640216588974, 'y': 0.01471910160034895, 'z': 0.2844657301902771}",232.12979125976562,0.5676571130752563,-0.28640216588974,0.01471910160034895,0.2844657301902771,"(-0.28640216588974, 0.01471910160034895, 0.2844657301902771, 0.5676571130752563)"
6,1.0,"{'x': -0.3113946318626404, 'y': 0.011165476404130459, 'z': 0.29263001680374146}",233.6202850341797,0.6457268595695496,-0.3113946318626404,0.011165476404130459,0.29263001680374146,"(-0.3113946318626404, 0.011165476404130459, 0.29263001680374146, 0.6457268595695496)"
7,1.0,"{'x': -0.3420345187187195, 'y': 0.011811528354883194, 'z': 0.2999088764190674}",234.46505737304688,0.7175244092941284,-0.3420345187187195,0.011811528354883194,0.2999088764190674,"(-0.3420345187187195, 0.011811528354883194, 0.2999088764190674, 0.7175244092941284)"
8,1.0,"{'x': -0.3615450859069824, 'y': 0.015759464353322983, 'z': 0.30286145210266113}",234.28518676757812,0.7841436266899109,-0.3615450859069824,0.015759464353322983,0.30286145210266113,"(-0.3615450859069824, 0.015759464353322983, 0.30286145210266113, 0.7841436266899109)"
9,1.0,"{'x': -0.37414634227752686, 'y': 0.016619980335235596, 'z': 0.30406323075294495}",233.47462463378906,0.850483238697052,-0.37414634227752686,0.016619980335235596,0.30406323075294495,"(-0.37414634227752686, 0.016619980335235596, 0.30406323075294495, 0.850483238697052)"
10,1.0,"{'x': -0.3810538053512573, 'y': 0.01628136821091175, 'z': 0.30422866344451904}",232.56930541992188,0.9165905117988586,-0.3810538053512573,0.01628136821091175,0.30422866344451904,"(-0.3810538053512573, 0.01628136821091175, 0.30422866344451904, 0.9165905117988586)"
11,1.0,"{'x': -0.38429930806159973, 'y': 0.020558128133416176, 'z': 0.3006788492202759}",230.7349853515625,0.9843578934669495,-0.38429930806159973,0.020558128133416176,0.3006788492202759,"(-0.38429930806159973, 0.020558128133416176, 0.3006788492202759, 0.9843578934669495)"
12,1.0,"{'x': -0.3817356526851654, 'y': 0.026587333530187607, 'z': 0.296337366104126}",228.90870666503906,1.050389289855957,-0.3817356526851654,0.026587333530187607,0.296337366104126,"(-0.3817356526851654, 0.026587333530187607, 0.296337366104126, 1.050389289855957)"
13,1.0,"{'x': -0.37724965810775757, 'y': 0.03195982798933983, 'z': 0.2927870750427246}",227.90853881835938,1.1168559789657593,-0.37724965810775757,0.03195982798933983,0.2927870750427246,"(-0.37724965810775757, 0.03195982798933983, 0.2927870750427246, 1.1168559789657593)"
14,1.0,"{'x': -0.373272567987442, 'y': 0.03603048622608185, 'z': 0.2907404899597168}",228.7162628173828,1.1837549209594727,-0.373272567987442,0.03603048622608185,0.2907404899597168,"(-0.373272567987442, 0.03603048622608185, 0.2907404899597168, 1.1837549209594727)"
15,1.0,"{'x': -0.369597852230072, 'y': 0.03870411217212677, 'z': 0.2891220450401306}",231.08201599121094,1.2495875358581543,-0.369597852230072,0.03870411217212677,0.2891220450401306,"(-0.369597852230072, 0.03870411217212677, 0.2891220450401306, 1.2495875358581543)"
16,1.0,"{'x': -0.3643608093261719, 'y': 0.04268831014633179, 'z': 0.28326964378356934}",233.58541870117188,1.3165849447250366,-0.3643608093261719,0.04268831014633179,0.28326964378356934,"(-0.3643608093261719, 0.04268831014633179, 0.28326964378356934, 1.3165849447250366)"
17,1.0,"{'x': -0.35563090443611145, 'y': 0.04659765958786011, 'z': 0.2731359601020813}",234.68264770507812,1.3840352296829224,-0.35563090443611145,0.04659765958786011,0.2731359601020813,"(-0.35563090443611145, 0.04659765958786011, 0.2731359601020813, 1.3840352296829224)"
18,1.0,"{'x': -0.3456979990005493, 'y': 0.053151100873947144, 'z': 0.2614910304546356}",236.49755859375,1.4504408836364746,-0.3456979990005493,0.053151100873947144,0.2614910304546356,"(-0.3456979990005493, 0.053151100873947144, 0.2614910304546356, 1.4504408836364746)"
19,1.0,"{'x': -0.3362545371055603, 'y': 0.060887016355991364, 'z': 0.2503690719604492}",241.07754516601562,1.5160026550292969,-0.3362545371055603,0.060887016355991364,0.2503690719604492,"(-0.3362545371055603, 0.060887016355991364, 0.2503690719604492, 1.5160026550292969)"
